未经 critic 评审 —— r76 固定 G 表(拆效应 A / 效应 B)  [L2/宿主仿真]  预注册 = PREREG_r76.txt
臂 N 单臂:NHS 自选 / duck 不消融 / prefer_unnotched=False / T_low=−45 / T_low_gr=-65 / T_panic=-6
工作点:cal_offset_db=0.0 / T_OBS=6s / bw_oct=1/5 / f_cut=8000 / frame=64 / 8 槽全空 / G 钉死在 anchor+[0.0, 1.0, 2.0, 4.0]
⛔ G 固定 ⇒ 本表【不含】ΔMSG(ΔMSG 是扫描终点量,固定 G 下无定义)

   ΔG  T60  sd   src  N1_cand  N2_lvl      过门率    挂陷   top1  PANIC   lp_rms    起振
  ΔG=+0 T60=0.5 sd=0: N2_lvl 逐档 [(-60.0, 0), (-50.0, 0), (-40.0, 0), (-30.0, 548), (-20.0, 5976), (-10.0, 5986)]   ✅单调不减
  ΔG=+0 T60=0.5 sd=1: N2_lvl 逐档 [(-60.0, 0), (-50.0, 0), (-40.0, 0), (-30.0, 98), (-20.0, 5972), (-10.0, 5985)]   ✅单调不减
  ΔG=+0 T60=0.5 sd=2: N2_lvl 逐档 [(-60.0, 0), (-50.0, 0), (-40.0, 0), (-30.0, 479), (-20.0, 5975), (-10.0, 5985)]   ✅单调不减
  ΔG=+1 T60=0.2 sd=0: N2_lvl 逐档 [(-60.0, 49), (-50.0, 49), (-40.0, 359), (-30.0, 533), (-20.0, 5977), (-10.0, 5986)]   ✅单调不减
  ΔG=+1 T60=0.2 sd=1: N2_lvl 逐档 [(-60.0, 47), (-50.0, 48), (-40.0, 740), (-30.0, 795), (-20.0, 5975), (-10.0, 5985)]   ✅单调不减
  ΔG=+1 T60=0.2 sd=2: N2_lvl 逐档 [(-60.0, 51), (-50.0, 57), (-40.0, 785), (-30.0, 734), (-20.0, 5976), (-10.0, 5985)]   ⛔ 出现下降:[(-40.0, 785, -30.0, 734)]
  ΔG=+1 T60=0.5 sd=0: N2_lvl 逐档 [(-60.0, 97), (-50.0, 98), (-40.0, 960), (-30.0, 816), (-20.0, 5976), (-10.0, 5986)]   ⛔ 出现下降:[(-40.0, 960, -30.0, 816)]
  ΔG=+1 T60=0.5 sd=1: N2_lvl 逐档 [(-60.0, 99), (-50.0, 94), (-40.0, 208), (-30.0, 235), (-20.0, 5972), (-10.0, 5985)]   ⛔ 出现下降:[(-60.0, 99, -50.0, 94)]
  ΔG=+1 T60=0.5 sd=2: N2_lvl 逐档 [(-60.0, 144), (-50.0, 143), (-40.0, 1484), (-30.0, 1277), (-20.0, 5975), (-10.0, 5985)]   ⛔ 出现下降:[(-60.0, 144, -50.0, 143), (-40.0, 1484, -30.0, 1277)]
  ΔG=+2 T60=0.2 sd=0: N2_lvl 逐档 [(-60.0, 882), (-50.0, 90), (-40.0, 1348), (-30.0, 1948), (-20.0, 5977), (-10.0, 5986)]   ⛔ 出现下降:[(-60.0, 882, -50.0, 90)]
